BldgID,BuildingSF,StarRating,BuildingClass,SalePrice,PricePerSF,SaleStatus,SecondaryType,LandAreaAC,NumberOfFloors,CeilingHeightDecimals,LocationType,PropertyZipCode,MSA,NearestMajorHighwayInterchange,DistancetoNearestInterchange,GeographicMedicalCostIndexbyZipCode,quarter,year
311,160000,3,B,1611900,10.07,Sold,Warehouse,9.5,1,19.5,Suburban,7823,10900,7114,46.08,1.206,2019Q1,2019
312,73700,3,B,10200000,138.4,Sold,Warehouse,7.2,1,20.5,Suburban,7836,35620,7114,28.92,1.206,2020Q2,2020
313,80000,3,B,1500000,18.75,Sold,Warehouse,4.33,2,28,Suburban,7840,10900,7114,35.72,1.206,2019Q1,2019
314,176200,2,C,4700000,26.67,Sold,Warehouse,17.22,4,19,Suburban,7866,35620,7114,22.86,1.206,2019Q3,2019
315,90189,3,B,13501644,149.7,Under Contract,Warehouse,13.5,1,22,Suburban,7866,35620,7114,22.86,1.206,2021Q2,2021
316,60160,3,C,6256640,104,Sold,Manufacturing,4.6,1,21,Suburban,7869,35620,7114,22.87,1.206,2019Q1,2019
317,105000,2,C,1675000,15.95,Sold,Manufacturing,4.8,1,17.5,Suburban,7874,35620,7114,31.35,1.206,2019Q1,2019
318,77875,3,C,8400000,107.87,Sold,Warehouse,4.58,1,22,Suburban,7922,35620,7114,13.59,1.206,2020Q2,2020
319,70000,3,B,6946900,99.24,Sold,Manufacturing,5.01,1,19.5,Suburban,7932,35620,7114,12.09,1.206,2020Q1,2020
320,88220,3,B,9075000,102.87,Sold,Manufacturing,6.3,1,24,Suburban,7936,35620,7114,12.45,1.206,2020Q3,2020
321,931682,3,B,43000000,46.15,Sold,Warehouse,84.34,2,24,Urban,8007,37980,19007,19.69,1.1245,2019Q2,2019
322,60550,3,B,4200000,69.36,Sold,Warehouse,4.17,1,24,Suburban,8012,37980,19007,24.82,1.1245,2020Q4,2020
323,721000,4,A,105750000,146.67,Sold,Distribution,66,1,66,Suburban,8016,37980,19007,2.86,1.1245,2020Q4,2020
324,83000,3,B,3100000,37.35,Under Contract,Warehouse,8.19,1,22,Suburban,8016,37980,19007,2.86,1.1245,2021Q2,2021
